127.0.0.1 - - [20/Feb/2021:23:11:18 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [20/Feb/2021:23:11:19 +0900] "GET /Jsp03_MVC/ HTTP/1.1" 200 359
0:0:0:0:0:0:0:1 - - [20/Feb/2021:23:11:19 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [20/Feb/2021:23:11:22 +0900] "GET /Jsp03_MVC/mycontroller.jsp?command=list HTTP/1.1" 200 841
0:0:0:0:0:0:0:1 - - [20/Feb/2021:23:11:24 +0900] "GET /Jsp03_MVC/mycontroller.jsp?command=selectone&seq=1 HTTP/1.1" 200 1020
0:0:0:0:0:0:0:1 - - [20/Feb/2021:23:11:25 +0900] "GET /Jsp03_MVC/mycontroller.jsp?command=updateform&seq=1 HTTP/1.1" 200 911
0:0:0:0:0:0:0:1 - - [20/Feb/2021:23:11:26 +0900] "GET /Jsp03_MVC/mycontroller.jsp?command=selectone&seq=1 HTTP/1.1" 200 1020
0:0:0:0:0:0:0:1 - - [20/Feb/2021:23:11:28 +0900] "GET /Jsp03_MVC/mycontroller.jsp?command=updateform&seq=1 HTTP/1.1" 200 911
0:0:0:0:0:0:0:1 - - [20/Feb/2021:23:11:29 +0900] "GET /Jsp03_MVC/mycontroller.jsp?command=selectone&seq=1 HTTP/1.1" 200 1020
0:0:0:0:0:0:0:1 - - [20/Feb/2021:23:11:30 +0900] "GET /Jsp03_MVC/mycontroller.jsp?command=updateform&seq=1 HTTP/1.1" 200 911
0:0:0:0:0:0:0:1 - - [20/Feb/2021:23:11:31 +0900] "GET /Jsp03_MVC/mycontroller.jsp?command=selectone&seq=1 HTTP/1.1" 200 1020
0:0:0:0:0:0:0:1 - - [20/Feb/2021:23:11:35 +0900] "GET /Jsp03_MVC/mycontroller.jsp?command=list&seq=1 HTTP/1.1" 200 841
0:0:0:0:0:0:0:1 - - [20/Feb/2021:23:11:36 +0900] "GET /Jsp03_MVC/mycontroller.jsp?command=insertform HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Feb/2021:23:11:38 +0900] "GET /Jsp03_MVC/mycontroller.jsp?command=insertform HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Feb/2021:23:11:38 +0900] "GET /Jsp03_MVC/myinsert.jsp HTTP/1.1" 200 813
0:0:0:0:0:0:0:1 - - [20/Feb/2021:23:11:38 +0900] "GET /Jsp03_MVC/myinsert.jsp HTTP/1.1" 200 813
0:0:0:0:0:0:0:1 - - [20/Feb/2021:23:11:48 +0900] "GET /Jsp03_MVC/myinsert.jsp HTTP/1.1" 200 813
0:0:0:0:0:0:0:1 - - [20/Feb/2021:23:13:14 +0900] "GET /Jsp03_MVC/myinsert.jsp HTTP/1.1" 200 812
0:0:0:0:0:0:0:1 - - [20/Feb/2021:23:13:29 +0900] "GET /Jsp03_MVC/myinsert.jsp HTTP/1.1" 200 814
0:0:0:0:0:0:0:1 - - [20/Feb/2021:23:13:29 +0900] "GET /Jsp03_MVC/myinsert.jsp HTTP/1.1" 200 814
0:0:0:0:0:0:0:1 - - [20/Feb/2021:23:13:30 +0900] "GET /Jsp03_MVC/mycontroller.jsp?command=list HTTP/1.1" 200 841
